Problem,Treatment pack,Ingredients,How_to
Pigmentations,"Gram flour, turmeric, yogurt","Gram flour(Besan), Turmeric, Yogurt ","You can make a paste of gram flour, turmeric, yogurt and apply it on your skin. You can make paste in raw milk or you can even use water. Now, let the paste sit on skin for 15 minutes and gently scrub while washing it off."
Pigmentations,Papaya face pack,"4-5 cubes of ripe papaya, Watermelon,  Potato, Tomato, cucumber ","Take 4-5 cubes of ripe papaya, watermelon, potato, tomato, cucumber and blend. Keep the paste in the refrigerator for 15 minutes and then apply it on your skin. Keep rubbing your face with the paste until it gets absorbed in your skin."
Pigmentations,"Lentils, turmeric, milk","Soak lentil, commonly known as Masoor dal, in raw milk overnight",Blend the soaked lentils with turmeric to make a thick paste. Apply the paste on your skin and wait till it gets dry. Make sure you scrub your face gently while washing it off.
Pigmentations,"Coffee, coconut oil, and sugar","Coffee powder, Coconut oil, Sugar","Make a thick paste of coffee powder, coconut oil, and sugar and scrub it for 10 minutes. Let it sit on the skin for 20 more minutes and then wash it off gently."
Dryness,Oatmeal Mask,"Hot water, Oats, yogurt, Honey","Combine 1/2 cup(120ml) of hot water with 1/3 cup(43g) of oatmeal in a bowl. Let the mixture sit for 2 to 3 minutes, then stir in 2 tablespoons (30ml) of plain yogurt and 2 tablespoons (30ml) of honey. Smooth the mask onto your face, then let it sit for about 15 minutes. Before you rinse this mask off, put a strainer in your sink to catch all the oats and prevent a clog. For extra exfoliation, scrub the oatmeal mask on your skin for about 30 seconds before letting it sit."
Dryness,Avocado Mask,"Avocado, plain organic yogurt,1  tsp (4.9 mL) of raw honey","Cut an avocado in half and scoop out the flesh into a bowl. Mix it with 1 tsp (4.9mL) of plain organic yogurt and 1 tsp (4.9mL) of raw honey. Mash the mixture until it's smooth, then gently dab it all over your clean face. Allow the mask to sit on your skin for 15 to 20 minutes so the omega fatty acids in the avocado and olive oil have time to penetrate. "
Dryness,Banana mask,Banana,"Peel a banana and cut it in half, then mash one half with a fork. Spread the mashed banana all over your face and down your neck, then let it sit for 15 to 20 minutes before rinsing.If the mask is too thick, you can mix in 1 tablespoon (15 ml) of milk to thin it out a bit."
Dryness,Pumpkin mask,"Fat-free Greek yogurt, 1 tbsp (15 mL) of raw honey, 1/4   (59 mL) of canned pumpkin, and 1 tbsp (17 g) of ground flax seed","Combine 1/4  cup (59 mL) of fat-free Greek yogurt, 1 US tbsp (15 mL) of raw honey, 1/4  (59 mL) of canned pumpkin, and 1 tbsp (17 g) of ground flax seed. Mix the ingredients up until they are smooth, then spread the mask all over your face. Leave it on for about 10 minutes before rinsing with warm water.
Pumpkin does have a tendency to stain carpet and clothing, so do this in the bathroom or over the sink to avoid potential disasters.
If you’re having trouble getting the mask off your skin, use a microfiber cloth to scrub it off."
Dryness,Strawberry mask,"Mash 5 fresh strawberries, 1/2 tbsp (7.4 mL) of plain yogurt, and 2 teaspoons (9.9 mL) of honey","In a small bowl, mash 5 fresh strawberries, 1/2  tbsp (7.4 mL) of plain yogurt, and 2 teaspoons (9.9 mL) of honey. Keep mashing with a fork until the mixture is smooth, then spread it onto your face.
Keep the mask on for approximately 20 minutes so you can get the maximum benefits."
Dryness,Egg yolk mask,Grab an egg and separate the yolk,"Grab an egg and separate the yolk, then throw the egg whites away. Beat the yolk and add in a dash of cinnamon, then spread the mixture all over your face. Let it sit for about 30 minutes before rinsing with warm water.
Egg whites are great for oily skin, but aren’t so good for dry skin. Stick to using the yolks only for a hydrating mask.
To make your mask a little creamier, add in a few drops of honey."
Dryness,Orange and yogurt mask,Mix the juice from 1/4 of an orange with 1  tsp (4.9 mL) of plain yogurt and 1  tsp (4.9 mL) of aloe,"In a small bowl, mix the juice from 1/4 of an orange with 1  tsp (4.9 mL) of plain yogurt and 1  tsp (4.9 mL) of aloe. Use a foundation brush to smooth the mixture onto your face, then let it sit for about 15 minutes.
This mask can also help reduce pigmentation and redness on your skin, so it’s a win-win!
If you have any sun damage on your face, this is a great mask to try."
Dryness,Turmeric mask,Mix together 1 tbsp (17 g) of chickpea flour with a pinch of turmeric powder.,"In a small bowl, mix together 1 tbsp (17 g) of chickpea flour with a pinch of turmeric powder. Add 1 US tbsp (15 mL) of water, then stir the ingredients together until they are smooth. Once your mixture is nice and thick, spread it onto your face and leave it there for about 15 minutes.
Turmeric is a tried and true skincare ingredient. It can help reduce inflammation, brighten up dark spots, prevent breakouts, and heal dry skin. It is a great ingredient to keep on hand for whenever you need it!"
Dryness,Coffee mask,"Fresh Coffee grounds, 1/2 tbsp (8.5 g) of red or green clay, 1 tbsp (15 mL) of coconut oil, and a splash of water","Mix 1 to 2 tbsp (17 to 34 g) of fresh coffee grounds, 1/2 tbsp (8.5 g) of red or green clay, 1 tbsp (15 mL) of coconut oil, and a splash of water. Use a fork to combine your mixture until it is smooth, then spread it onto your skin and leave it for about 15 minutes.
If you are prone to breakouts, you might not want to put coconut oil on your face (it has a tendency to clog your pores). Instead, use plain yogurt or heavy cream.
Coffee grounds also help brighten up your skin and leave you feeling refreshed."
Dryness,Brown sugar mask,2 tablespoons (30 mL) of virgin coconut oil and 2 tbsp (34 g) of brown sugar,"Mix 2 tablespoons (30 mL) of virgin coconut oil and 2 tbsp (34 g) of brown sugar. Scrub the mixture onto your face in small circular motions, then let it sit for about 5 to 10 minutes. Rinse your face with warm water and pat your skin dry with a towel.
Brown sugar is a physical exfoliant, so you won’t want to use this one more than once a week.
The coconut oil helps to rehydrate and moisturize your skin to leave it feeling fresh and glowy."
